"Composant Nom du composant tel qu'il est exporte par le DS | LECON TRANSVERSALE (ligne OrigamSection retiree le 2026-08-26 ; verdict bloquant pose le 2026-08-21 par scribe-tableau-2 ; ticket #453) : composant EXPORTE dans le package npm alors qu'il etait un stub vide - <div> sans aucun <slot/>, zero props, zero defineSlots. Le .md etait honnete (bandeau WIP explicite) ; la story ne l'etait PAS : ses Variants Default et Slots - Default passaient du contenu enfant que le composant ne pouvait pas afficher, donc une boite vide alors que le control Content pretendait agir dessus. A retenir : une story qui expose un control sans effet ment plus fort qu'une doc absente, et un verdict bloquant inscrit ici ne vaut que s'il ressort en ticket.",Famille Dossier de la famille dans components/ — une famille se deplace d'un bloc,Composants dans la famille Nombre de composants dans la famille — indique le poids de l'inspection,C1 Rendu distinct Chaque valeur de prop produit-elle un rendu DISTINCT ? Pas la classe emise : la regle SCSS existe-t-elle et le style calcule change-t-il ?,"C2 Canal du theme Le canal du theme est-il intact ? Aucune valeur en dur (px, couleur) n'ecrase un token --origam-xxx---*",C3 Reactivite Changer la prop APRES le montage change-t-il le rendu ? Attendre nextTick (souvent 2 fois) avant de lire le DOM,"C4 ADR-005 ADR-005 : aucune lecture eagerly dans le corps de setup() — le resolveur ecrit dans beforeCreate, donc APRES","C5 Emits assertes Les emits declares partent-ils reellement, et un test le prouve-t-il ? Verifier que emit( est bien appele quelque part","C6 Semantique / a11y HTML semantique et a11y : element natif plutot que div, pas d'ARIA redondant, content model respecte, aucun attribut parasite qui fuit",C7 Story + doc Story et doc refletent-elles l'API vivante ? Distinguer la doc ABSENTE de la doc MENSONGERE,"C8 Zero chaine en dur Zero chaine en dur destinee a l'utilisateur, y compris aria-label, placeholder et valeurs par defaut de props","Gravite max Gravite du pire defaut trouve : bloquant = perte de donnees, prop morte, a11y cassee",Statut Ou en est l'inspection de ce composant,Inspecteur,Date,Preuve / lien,Ticket,Notes,"Module cible Module npm installable dans lequel ira ce composant (#14 / ADR-006). A TRANCHER par le mainteneur : l'affectation est une decision, pas une deduction","Dependances inter-familles MESURE : familles dont ce composant consomme un symbole (type, enum, const, interface). Commons exclu. Un tiret = aucune. Ces liens sont ce qui bloque le decoupage en modules","defineProps + interface defineProps<IXxxProps>() typé par générique, interface I-préfixée rangée dans src/interfaces/**","defineEmits + interface defineEmits<IXxxEmits>() typé par générique, interface I-préfixée dans src/interfaces/** ; sans objet si aucun emit relais atteignable","defineSlots + interface defineSlots<IXxxSlots>() typé par générique, interface I-préfixée dans src/interfaces/** ; sans objet si aucun <slot> dans le template, OU si les slots sont forwardes dynamiquement (v-for sur $slots) : un critere techniquement impossible a satisfaire ne s'applique pas. Cas OrigamChart et OrigamContextualMenu — passthroughs transparents ou typer defineSlots casse la compilation (TS7053) ou ment sur la surface acceptee.",Remarque,col24,col25
OrigamAlert,Alert,1.0,conforme,conforme,conforme,conforme,conforme,conforme,defaut,conforme,majeur,inspecte,agent QA + verifie PM,2026-08-19 / da95f211,"update:hover declare, jamais emis (grep: 1 seule occurrence = la declaration). Story 'Events - update:hover' demontre un event mort","CORRIGE #376 (aa1d9f97), CORRIGE #381 (df0e20e0)","C5 : update:hover est declare dans IAlertEmits et demontre par une Variant de story, mais emis NULLE PART (useHover ne fait que muter un ref local). C7 : la doc l'annonce fonctionnel. Mesure runtime : l'id du consommateur n'atteint pas la racine, rendu = origam-alert-0. CORRIGE #381 (df0e20e0) : useStyle(alertStyles, () => props.id) ajoute, id consommateur atteint desormais la racine (etait origam-alert-0 genere). C1 etait note conforme sans verifier l'id specifiquement ; verifie reellement distinct maintenant. Commit cc2c8daf.",,—,conforme,conforme,conforme,,,
OrigamApp,App,2.0,conforme,conforme,conforme,conforme,conforme,conforme,defaut,conforme,majeur,inspecte,agent QA + verifie PM,2026-08-19 / da95f211,"Classe origam-app--is-rtl emise mais AUCUNE regle SCSS ne la lit (9 composants concernes). Doc annonce 'origam-app--rtl', nom faux","CORRIGE #377 (8a05ccd5), CORRIGE #381 (df0e20e0)","C5 : update:hover declare, jamais emis. C7 : la doc nomme la classe --rtl alors que le composant emet --is-rtl, et AUCUNE regle SCSS ne la consomme (9 composants concernes). Mesure runtime : id du consommateur perdu, rendu = origam-app-0. CORRIGE #381 (df0e20e0) : useStyle(appStyles, () => props.id) ajoute, id consommateur atteint desormais la racine (etait origam-app-0 genere). C1 etait note conforme sans verifier l'id specifiquement ; verifie reellement distinct maintenant. Commit cc2c8daf.",,-,conforme,conforme,conforme,,,
OrigamAppBar,App,2.0,defaut,conforme,conforme,defaut,conforme,conforme,conforme,conforme,bloquant,inspecte,agent QA + verifie PM,2026-08-19 / da95f211,Doc = stub auto-genere de 5 lignes pour ~15 props. useLayoutItem fige props.name en setup (ADR-005),"Fix existe sur feature/379-appbar-doc-adr005 (02aff30d), NON MERGE dans develop au moment de l'inspection (C7 doc), voir #442 (C4 ouvert), CORRIGE #381 (df0e20e0)
","C7 : doc reduite a un stub auto-genere de 5 lignes pour ~15 props. C4 : props.name lu eagerly dans useLayoutItem, donc invisible au theme (ADR-005). Mesure runtime : id du consommateur perdu MALGRE useStyle(..., () => props.id) — c'est l'enfant origam-toolbar qui ecrase, rendu = origam-toolbar-1. Forme distincte de #381, suivie au meme endroit. Fix existe sur feature/379-appbar-doc-adr005 (02aff30d), NON MERGE dans develop au moment de l'inspection : doc complete (usage/image/scroll/layout/slots/emits/props/tokens/a11y) + controle image ajoute a la story + 9 tests de couverture density/elevation/rounded/border/collapse/flat/location/image (tous verts, aucun bug trouve). Commit 02aff30d. C4 extrait vers #442 (name fige au setup partage par 4 composants, question ouverte sur le bien-fonde de le rendre thematisable).",,Toolbar,conforme,conforme,conforme,,,
OrigamAudio,Audio,1.0,defaut,defaut,conforme,defaut,defaut,conforme,defaut,defaut,bloquant,inspecte,agent QA + verifie PM,2026-08-19 / da95f211,"Slot 'controls' declare + documente, AUCUN <slot name=controls> dans le template. update:shuffle jamais reemis. #0a0a0a en dur x2. Chaine 'Track' non traduite",#378,"C1/C2 : slot 'controls' declare et documente, aucun slot name=controls dans le template ; #0a0a0a en dur x2, hors token. C5 : update:shuffle jamais re-emis. C8 : libelle 'Track' non traduit. Seul des 7 dont l'id du consommateur atteint bien la racine.",,-,conforme,conforme,conforme,,,
OrigamAvatar,Avatar,2.0,conforme,defaut,conforme,conforme,defaut,conforme,defaut,conforme,majeur,inspecte,agent QA + verifie PM,2026-08-19 / da95f211,"useStyle(avatarStyles) sans props.id : le template binde l id GENERE, celui du consommateur est perdu","CORRIGE #376 (aa1d9f97), CORRIGE #381 (df0e20e0)","C5 : update:hover declare, jamais emis. C7 : la doc l'annonce fonctionnel. Mesure runtime : id du consommateur perdu, rendu = origam-avatar-0 — useStyle(avatarStyles) appele sans props.id. CORRIGE #381 (df0e20e0) : useStyle(avatarStyles, () => props.id) ajoute, id consommateur atteint desormais la racine (etait origam-avatar-0 genere). C1 etait note conforme sans verifier l'id specifiquement ; verifie reellement distinct maintenant. Commit cc2c8daf.",,Img,conforme,conforme,conforme,,,
OrigamAvatarGroup,Avatar,2.0,conforme,defaut,conforme,conforme,defaut,defaut,defaut,conforme,majeur,inspecte,agent QA + verifie PM,2026-08-19 / da95f211,Meme bug id. update:hover mort. 13 des 14 Variants sans couverture e2e,"CORRIGE #376 (aa1d9f97), CORRIGE #381 (df0e20e0)","C5 : update:hover declare, jamais emis. 13 des 14 Variants sans couverture e2e. Mesure runtime : la racine ne porte AUCUN id — seuls les avatars enfants en ont (origam-avatar-1 / -2). #372 n'a pas ete applique ici : forme distincte de #381.",,—,conforme,conforme,conforme,,,
OrigamBadge,Badge,1.0,conforme,defaut,conforme,conforme,conforme,conforme,defaut,conforme,majeur,inspecte,agent QA + verifie PM,2026-08-19 / da95f211,"aria-label vaut toujours 'Badge', jamais le content : t(label, content) interpole {0} absent du gabarit","CORRIGE #380 (df0e20e0) (C6), CORRIGE #376 (aa1d9f97), CORRIGE #381 (df0e20e0)","C5 : update:hover declare, jamais emis. C6 : aria-label vaut toujours 'Badge' — t(label, content) interpole un {0} absent du gabarit, le contenu n'est donc jamais annonce au lecteur d'ecran. Mesure runtime : racine sans id, origam-badge-0 est porte par un enfant. CORRIGE #380 (df0e20e0) : nouveau computed badgeAriaLabel qui annonce le contenu reel (nombre/texte) et ne retombe sur le libelle traduit que si aucun contenu (dot/icone). 6 tests verts (packages/tests/TU/components/Badge/badge-aria-label.spec.ts), rouge confirme avant (3 echecs). Doc corrigee. Commit 7ef81937. CORRIGE #381 (df0e20e0) : useStyle(badgeContentStyles, () => props.id) ajoute sur le pill .origam-badge__badge (pas la racine), id consommateur atteint desormais le pill. Commit cc2c8daf.",,Transition,conforme,conforme,conforme,,,
OrigamBlockquote,Blockquote,1.0,defaut,conforme,conforme,conforme,conforme,conforme,defaut,conforme,mineur,inspecte,agent QA e2e,2026-08-21,"letter-spacing calcule reste ""normal"" avant ET apres injection de --origam-blockquote---letter-spacing : aucune regle SCSS ne lit la variable pourtant emise par useTypography",#387,"C1 : letterSpacing emet bien sa variable CSS mais aucune regle SCSS ne la lit — prop morte, absente de la story ET de la doc, decouvrable seulement par autocomplete TS. C7 : lacune, pas mensonge. Trouve en plus : source seul sans author rend un tiret et une virgule orphelins. C2 NON MESURE (critere ajoute apres cette famille).",,—,conforme,conforme,conforme,,,
OrigamBottomNav,BottomNav,1.0,defaut,conforme,conforme,defaut,defaut,conforme,defaut,conforme,bloquant,inspecte,agent QA e2e,2026-08-21,regle generee #origam-bottom-nav-1 {... width: 320px; ... width: calc(100% - 0px - 0px)} : la 2e declaration ecrase celle du consommateur. Et height: NaN est emis litteralement,"CORRIGE #383 (a43b20cb), #384, #385, CORRIGE #381 (df0e20e0)","C1 : width mort des qu'un OrigamLayout est ancetre, soit l'usage documente par defaut ; position devient decorative en cascade. Number('96px')=NaN donc density=compact ne retire jamais les 8px promis. C4 : name lu eagerly. C5 : update:active et update:hover jamais emis. C7 : la doc affirme deux faussetes, dont un bug DEJA repare decrit comme actuel. C2 NON MESURE. CORRIGE #381 (df0e20e0) : useStyle(bottomNavStyles, () => props.id) ajoute, id consommateur atteint desormais la racine. #383/#384/#385 restent ouverts (defauts distincts, non lies a l'id). Commit cc2c8daf. CORRIGE #383 (a43b20cb) : layoutItemStyles reordonne AVANT dimensionStyles (useStyle() aplatit en une seule regle, l'ordre source tranche) — le width explicite du consommateur gagne desormais sur le calc() du layout, position redevient significatif. Tests rouge->vert (bottom-nav-width-in-layout.spec.ts). #384/#385 restent ouverts. Commit bd8a12f8.",,"Breadcrumb, Btn, Transition",conforme,conforme,conforme,,,
OrigamBracket,Bracket,4.0,defaut,defaut,conforme,conforme,conforme,conforme,defaut,defaut,majeur,inspecte,agent QA e2e,2026-08-21,"bracket.spec.ts:200 test.fail 'OrigamBracketRound does not forward the #competitor slot' rejoue le 2026-08-20 : toujours rouge, bug non corrige","#388, #428","C1 : le slot competitor ne traverse pas Round - le slot custom s'affiche ET la ligne par defaut se rend aussi. C7 : la doc omet ~25 props pourtant cablees et prouvees ; la story, elle, est a jour - l'inverse du cas BottomNav. C8 : libelles anglais en dur non traduisibles. C2 : deux canaux testes. SCSS->token conforme (override direct de --origam-color__action--primary---fgSubtle sur l'iframe sandbox + getComputedStyle avant/apres, le style suit le token, aucune valeur en dur). Theme->props CASSE : OrigamBracket.vue lignes 114 et 196 passent :color=""roundColor"" a OrigamBracketRound sans garde (pas de wasPropPassed/omitUndefined, meme patron que le bug corrige dans OrigamBottomNav.vue:126-140). roundColor vient de props.color qui a un defaut 'primary', donc toujours defini cote parent -> un theme cible sur origam-bracket-round (ou descendants) ne peut jamais gagner. Verdict global defaut : canal SCSS ok, canal theme->forwarding rompu.",,—,conforme,conforme,conforme,,,
