Composant(A)	C1(D)	C2(E)	C3(F)	C4(G)	C5(H)	C6(I)	C7(J)	C8(K)	Gravite(L)	Statut(M)	Preuve(P)	Ticket(Q)	Notes(R)
OrigamExpansionPanels	conforme	conforme	conforme	conforme	conforme	conforme	conforme	conforme	aucun	inspecte	find sur packages/docs/components/ExpansionPanel ne retourne que 3 fichiers : OrigamExpansionPanel.md, OrigamExpansionPanelHeader.md et OrigamExpansionPanelContent.md. OrigamExpansionPanels.md N'EXISTE PAS. Mode simple teste au runtime : cliquer l'en-tete B ferme automatiquement le panneau A (--active disparait de A, apparait sur B). Mode multiple=true : cliquer B n'affecte pas A, les deux restent actifs. C4, C5 et C8 : absent des trois listes du harnais	CORRIGE C7 (ad0a1fb7, doc 246 lignes, deja mergee avant cette passe) -- aucun ticket n a jamais ete ouvert, inutile desormais.	Le composant PLURIEL, l'orchestrateur, celui qu'un consommateur utilise EN PREMIER avec sa prop items, est le seul des quatre a n'avoir aucune page de doc. OrigamExpansionPanel.md (singulier) ne le mentionne qu'en passant, must be used as a child of OrigamExpansionPanels. Doc ABSENTE et non mensongere, d'ou mineur : rien de faux n'est affirme, il manque juste la porte d'entree. Le comportement, lui, est solide et c'est le point rassurant de la famille : accumulation correcte en mode multiple, exclusion correcte en mode simple, item disabled jamais selectionnable, forwarding des props visuelles fonctionnel via OrigamDefaultsProvider et omitUndefined (correctif #263). C'est le meme useGroup / useGroupItem que celui d'OrigamSelectionControl casse par #396, et ici il se comporte correctement : le probleme de #396 n'est donc pas dans le composable partage. || [CLOTURE CAMPAGNE 2026-09-13, PR #687/#688/#689] C7 defaut -> conforme, RE-MESURE : packages/docs/components/ExpansionPanel/OrigamExpansionPanels.md existe (246 lignes, usage basique + data-driven + selection), ajoute par ad0a1fb7 (ancetre de develop, verifie git merge-base --is-ancestor). Contenu substantiel, pas un stub. 15/15 e2e expansion-panels.spec.ts verts (E2E_STATIC=1, histoire preview statique). Gravite ramenee a aucun.
OrigamImg	conforme	conforme	conforme	conforme	conforme	conforme	conforme	conforme	aucun	inspecte	C4 : state = shallowRef(props.eager ? LOADING : IDLE) ligne 159 et intersect = ref([{handler:init, options:props.options}]) ligne 333 lisent props.eager et props.options EAGERLY dans le corps de setup(). Consequence VERIFIEE et pas seulement notee : state n'est pas un computed qui relit props.eager, c'est une capture UNIQUE au montage sans canal de rattrapage. C7 : ls sur packages/tests/e2e filtre sur img retourne 0 resultat, aucun spec e2e n'existe pour ce composant alors que la story a 14 Variants. Conforme et teste par ailleurs : id atteint la racine, alt pose bien role=img et aria-label (absents sans alt), cover bascule --cover/--contain	CORRIGE C3 (090b7820 pour C4 puis PR #687/396faf9f pour C3, ferme #684) ; CORRIGE C7 (611b06c5, #685). #684 FERMABLE via #687.	Un theme ciblant origam-img.eager, resolu en beforeCreate donc APRES setup(), ne peut structurellement jamais changer le comportement de chargement initial : l'image demarre toujours en mode paresseux, en attente d'intersection, meme si le theme demande eager:true. C'est un cas ADR-005 classique, deja recense par le harnais, mais dont la consequence concrete a ete tracee ici plutot que laissee en abstrait. Gravite mineure parce que le defaut ne touche que le canal theme : passer la prop directement fonctionne. Le trou e2e est independant et vaut d'etre note pour lui-meme : 14 Variants de story et zero spec, c'est le genre d'ecart qui laisse un defaut vivre longtemps. || [PASSE 4 QA 2026-09-13] C4 defaut -> conforme : state seede en IDLE neutre + intersect converti en computed (commit 090b7820) ; c4-eager-setup-reads.probe.spec.ts 8/8 verts, setup-reads.mjs silencieux sur Img. C7 reste defaut (zero spec e2e). || [PASSE 5 QA 2026-09-13 -- mesure finale, PR #681/#683/#685] C7 defaut -> conforme, RE-MESURE : 14 Variants de story, 0 spec avant ce lot. Nouveau img.spec.ts (15 tests) verifie par moi-meme en Chromium reel (E2E_STATIC=1, port 6031) : 15/15 verts. || CORRECTION INVERSE, IMPORTANTE -- C3 conforme -> DEFAUT : en ecrivant ce spec, le lot a lui-meme trouve et OUVERT le ticket #684 (verifie : gh issue view 684, OPEN) pour 'responsiveProps' (OrigamImg.vue:196, pick(props, [aspectRatio, contentClass, inline, height, maxHeight, maxWidth, minHeight, minWidth, width, class, style])) construit UNE FOIS hors de tout computed() -- 11 props figees au premier rendu, jamais reactives (mesure : aspectRatio change de 1.777 a 1 cote Vue mais le padding-block-end du sizer reste bloque a 56.25%). Verifie sur le code ACTUEL de develop : pick() est toujours un appel nu, non enveloppe -- NON CORRIGE. Le test e2e ajoute par ce meme lot le confirme lui-meme sans le signaler comme rouge : 'Prop - aspectRatio: applies once at mount (see comment above for the found reactivity gap)' (img.spec.ts, passe au vert -- comportement documente comme acquis, pas teste comme regression). C3 etait note 'conforme' avant cette passe : erreur de classeur, jamais mesuree correctement -- corrigee ici en 'defaut'. GRAVITE : relevee de mineur a majeur (jugement, pas une regle ecrite du classeur -- 11 props sur un composant tres utilise, defaut de meme famille que ceux notes majeur ailleurs dans ce lot [OrigamVideo/#673, useIntersectionObserver/#682] ; a confirmer avec l'utilisateur si mineur est prefere). Ticket #684 reste OUVERT sur instruction explicite. || [CLOTURE CAMPAGNE 2026-09-13, PR #687/#688/#689] C3 defaut -> conforme, RE-MESURE : responsiveProps (OrigamImg.vue) est desormais un computed() (etait un pick(props,[...]) nu au corps de setup()), verifie par lecture directe du fichier sur develop. PR #687 a CORRIGE le chiffre du ticket #684 lui-meme : 8 props etaient reellement mortes (aspectRatio, contentClass, inline, height, maxHeight, maxWidth, minHeight, minWidth), pas 11 -- width/class/style etaient deja reactifs via un second canal (imgStyles/imgClasses, computed independant). Verifie par 2 tests dedies : 'Prop - aspectRatio: reacts to a post-mount change (#684)' et 'Prop - height/minWidth: react to a post-mount change (#684)', tous deux verts (img.spec.ts). Contre-epreuve du PR : 16/16 sur le correctif, 14/16 sur HEAD~1 (mesuree par l'auteur, non re-executee par moi -- HEAD~1 n'a pas ete checkout out cette passe). 16/17 tests du fichier verts en re-execution complete par mes soins (E2E_STATIC=1) : le seul echec ('Slots - Placeholder', ligne 146) est SANS RAPPORT avec #684/#687 -- voir ticket #690 ouvert ce jour, defaut de fiabilite du test (suppose un reseau lent, cet environnement charge picsum.photos en ~200ms), composant verifie CORRECT par mesure DOM directe. Gravite ramenee de majeur a aucun (les 8 props reagissent desormais toutes ; la question 'mineur vs majeur' posee a l'utilisateur dans une passe precedente est caduque, le defaut est resolu).
OrigamInlineEdit	conforme	conforme	conforme	conforme	conforme	conforme	conforme	conforme	aucun	inspecte	C1: 5/7 classes racine (--editing,--pending,--multiline,--has-error,--show-actions) n'ont AUCUNE regle SCSS (seules --disabled et --loading-on-confirm stylees) - grep verifie. C2: tokens/component/inline-edit.json declare editor.* (8 tokens) jamais lus; input.min-width emet __input--- mais SCSS lit __field--- (mismatch); SCSS lit __action-btn---border-radius/font-size/size et ---actions-gap, absents du JSON (jamais emis, non themable). C3/C4: vitest mount, setProps rules/trim apres montage -> ignores (confirm() garde la regle perimee, trim reste applique); confirme par node scripts/guards/lib/setup-reads.mjs (InlineEdit: rules,validate,trim eager dans useInlineEdit()). C5: 5 emits declares = 5 emit() trouves, les 2 sens verifies. C6: tag='span' (phrasing) contient un <div> (OrigamInput via TextField/TextareaField + div showActions) -> violation content model. C7: grep 'rules' dans le .story.vue = 0; e2e inline-edit.spec.ts a deja 6 test.fixme 'STORY COVERAGE MISSING'. C8: placeholder, confirmActionLabel, cancelActionLabel, prefixe 'Edit ' tous hardcodes, zero useLocale()/t() (pattern DS confirme sur Chip/InfiniteScroll); harnais n'en voit que 1/6.	C2 FAUX POSITIF, mesure -- #436 (deja FERME), #652 ouvert pour tracabilite C1 (fermable, hors liste de cette passe, signale a part).	Composant globalement fonctionnel en usage standard (edition et validation marchent au montage), mais 4 familles de defauts distincts et mesures. Le plus serieux: rules/validate/trim sont figes au montage (useInlineEdit() les capture une fois dans setup()), donc un formulaire qui change ses regles de validation dynamiquement continue silencieusement a valider avec les anciennes - prouve par test vitest jetable, pas seulement par le garde statique. Deuxieme famille: le canal de theme est casse sur deux zones enregistrees (editor.* et action-btn.*) - les tokens existent dans le JSON source mais aucun ne sort un var lu par le composant, donc les personnaliser via le theme est impossible malgre l'apparence d'un token complet. Cinq classes d'etat racine (--editing, --pending, --multiline, --has-error, --show-actions) sont posees sans la moindre regle SCSS - verifie par grep exhaustif du bloc style, pas un faux positif. Le gap story sur rules/validate n'est pas une decouverte: l'equipe l'a deja documente dans l'e2e spec avec 6 test.fixme et une note explicite, donc juste a combler. Aucune fausse alerte a refuter cette fois: les 4 defauts tiennent tous a la verification directe. Famille liee: le bug C6 (span>div) vient de OrigamInput (famille Input), racine commune a TextField/TextareaField. || [VAGUE2 2026-09-10] C6 defaut -> defaut : PARTIEL : les 2 champs ont enfin un nom accessible (il n y en avait AUCUN) et la double tabulation est traitee. RESTE #614 : nested-interactive (serious) sur .origam-field__append-inner, ANTERIEUR, prouve par A/B contre develop. || [VAGUE2 2026-09-10] C8 defaut -> conforme : CORRIGE : les 7 chaines passent par useLocale(), dont 2 masquees derriere ?? et || et 1 dans le composable. PR #619. || [VAGUE2 2026-09-10] C2 defaut -> conforme : CORRIGE : 11 tokens dormants retires, 3 __action-btn---* declares, faute de frappe ---actions-gap retiree. PR #619. || [RECONCILIATION 2026-09-11 (14 PR mergees)] C1 defaut -> conforme : les 5 classes d'etat (--editing/--pending/--multiline/--has-error/--show-actions) ont desormais des regles SCSS dediees, 2 tokens ajoutes (verifie grep, OrigamInlineEdit.vue lignes 468-548) ; A/B Playwright reel 5 failed avant / 5 passed apres (PR #636). C3/C4 defaut -> conforme : rules/validate/trim sont re-lus a chaque confirm (#490, FERME 27/08 -- ANTERIEUR a la mesure du 09-01, verdict perime, confirme independamment par 0 occurrence dans setup-reads.mjs). C6 defaut -> conforme : tag default passe de 'span' a 'div' (arbitrage utilisateur rendu et applique, 0ce5cff6 -- "un <span> est phrasing content et ne peut pas contenir le <div> que le mode edition rend via OrigamField"), tag='span' reste la porte de sortie documentee. C7 defaut -> conforme : story a desormais un Variant Events-validate-error et des controles Playground rules/validate (verifie grep, OrigamInlineEdit.story.vue). Reste C2 defaut (non touche), gravite ramenee a mineur. || [AUDIT COORDINATEUR 2026-09-11] Correction d'incoherence PRE-EXISTANTE (anterieure a la campagne du jour, ni introduite ni corrigee par les 14 PR) : la colonne C2 affichait 'conforme' alors que le Ticket #436 (toujours ouvert) et la propre Note de cette ligne decrivent explicitement des tokens editor.*/action-btn.* non relies au SCSS, et la phrase de reconciliation du jour elle-meme concluait 'Reste C2 defaut (non touche)' sans que la cellule ne soit corrigee en consequence. C2 remis a 'defaut' pour rester coherent avec le ticket ouvert et la gravite 'mineur' deja posee. A verifier au prochain lot tokens si #436 est traite. || [PASSE 4 QA 2026-09-13] C2 RE-VERIFIE, TOUJOURS DEFAUT : 3 sous-problemes de nommage de token verifies corriges par grep (min-width __input/__field, action-btn border-radius/font-size/size, 8 tokens editor.* morts retires), MAIS une mesure navigateur sur le comportement 'all: unset' de 3 tokens __action-btn reste annoncee comme en suspens par le corps de PR #671 — non verifiable par grep seul, non re-mesuree cette passe. Gravite inchangee (mineur). || [CLOTURE CAMPAGNE 2026-09-13, PR #687/#688/#689] C2 defaut -> conforme, FAUX POSITIF confirme par mesure directe (la question etait en suspens depuis la PASSE 4 : 'mesure navigateur sur le comportement all: unset ... non re-mesuree cette passe'). Lecture du fichier : dans .origam-inline-edit__display et .origam-inline-edit__action-btn, 'all: unset;' est la PREMIERE declaration de la regle, suivie des lignes token (min-height, padding, border-radius, width, etc.) DANS LA MEME regle -- en cascade CSS, les declarations qui suivent 'all: unset' dans le meme bloc l'emportent, elles ne sont pas annulees. Test existant confirme au navigateur (inline-edit.spec.ts:539, 'action-btn theming channel') : mutation + mesure en un seul evaluate (largeur/rayon/taille police) donne AVANT {w:28px, r:4px, f:14px} et APRES override {w:61px, r:13px, f:27px} -- canal vivant, pas mort. 43/43 e2e inline-edit.spec.ts verts, 65/65 TU (composables + components/InlineEdit) verts. #436 (fermé) couvrait exactement ce point ; #652 reste ouvert pour un point C1 distinct (deja corrige, trace de tracabilite uniquement), hors perimetre de cette liste de fermeture.
OrigamItemGroupItem	conforme	conforme	conforme	conforme	conforme	conforme	conforme	conforme	aucun	inspecte	C1: conforme - slotProps (isSelected/disabled/value/selectedClass) derivent de computed() reactifs dans useGroupItem, differents selon l'etat du groupe; tag change bien l'element DOM. C2: conforme - aucun fichier tokens/component/item-group*.json pour ce niveau, aucune regle CSS .origam-item nulle part dans le DS (grep confirme) - composant headless assume, rien a casser. C3/C4: conforme - useGroupItem() utilise toRef(props,'value') et computed() partout, zero capture figee au montage. C5: defaut mineur - group:selected est emis via vm.emit() DANS le composable (Commons/groupItem.composable.ts), mais OrigamItem.vue n'appelle JAMAIS defineEmits() - l'emit fonctionne (teste dans group.composable.spec.ts + OrigamItemGroup.spec.ts + e2e btn/chip/expansion-panel(s).spec.ts) mais n'est declare nulle part sur le composant lui-meme; direction 'emis-sans-etre-declare' invisible au harnais automatique. C6: conforme - le doc (OrigamItemGroup.md:246-268) documente explicitement l'absence d'ARIA par defaut avec un exemple de aria-pressed cote consommateur - design headless assume et honnetement documente. C7: defaut mineur - le .story.vue n'a aucun Variant 'Events - group:selected' malgre l'emit reel et teste ailleurs. C8: conforme - aucune chaine visible dans le composant.	CORRIGE C7 (a630ec4f doc 136 lignes + 7a5be0a3 defineEmits<IItemGroupItemEmits>) ; C5 deja conforme (#425 FERME).	Composant volontairement headless/renderless: zero CSS, zero ARIA integres, et c'est assume + documente (contrairement a Input ou le manque de clavier est un vrai bug, ici c'est un choix explicite avec exemple de code pour le consommateur). Seul point reellement anormal: group:selected part bien en pratique (vm.emit() direct dans useGroupItem, teste par plusieurs specs TU et e2e via btn/chip/expansion-panel) mais le composant OrigamItem.vue lui-meme n'appelle jamais defineEmits - la doc le mentionne en prose mais aucun Variant story ne le demontre. <OrigamItem> n'a aucun consommateur interne au DS (OrigamChip n'importe pas le composant, seulement le composable useGroupItem) - a verifier si c'est voulu (primitive publique pure) ou un signe qu'il devrait etre plus utilise en interne. Aucun faux positif a signaler, gravite globale mineure. || [PASSE 4 QA 2026-09-13] C5 defaut -> conforme : issue #425 (CLOSED) — group:selected part reellement via useGroupItem, teste par group.composable.spec.ts (20/20 verts). Mentionne dans le corps de PR #672 mais jamais reporte au classeur jusqu'ici. C7 reste defaut (composant headless/renderless assume). || [CLOTURE CAMPAGNE 2026-09-13, PR #687/#688/#689] C7 defaut -> conforme, RE-MESURE : packages/docs/components/ItemGroup/OrigamItemGroupItem.md existe desormais (136 lignes, ajoute par a630ec4f, ancetre de develop). group:selected est maintenant formellement declare : IItemGroupItemEmits (item-group.interface.ts) porte '(e: group:selected, value: {value: boolean}): void' et OrigamItemGroupItem.vue appelle defineEmits<IItemGroupItemEmits>() (commit 7a5be0a3, lot defineEmits/defineSlots #6). La story OrigamItem.story.vue porte desormais une Variant 'Events - group:selected' qui logue l'evenement. 6/6 e2e item-group.spec.ts verts. #425 (CLOSED) couvrait le C5 fonctionnel (emission reelle, deja conforme depuis PASSE 4) ; le present correctif couvre le volet declaratif/documentaire (C7) qui restait ouvert.
OrigamMediaController	conforme	conforme	conforme	conforme	conforme	conforme	conforme	conforme	aucun	inspecte	C4 confirme par deux voies : setup-reads.mjs liste MediaController 2 [loopMode, shuffle] (ref(props.loopMode ?? 'none') ligne 366, ref(props.shuffle ?? false) ligne 398) ; et un test avec createOrigam qui declare origam-media-controller loopMode=all shuffle=true, AUCUNE prop passee, donne 'none' et false. Le watch present ne rattrape rien, un watcher ne se declenche pas sur la valeur initiale. DEFAUT ISOLE AU CANAL THEME : re-teste avec les props passees directement, showPrevious/showNext/showLoop/showShuffle rendent, cliquent, cyclent none-all-one-none et emettent correctement, 3 tests verts	CORRIGE C2 (b5c2dc99, #429) + C4 (8a01529f, #429) + C7 (9f953a21). #429 reste OUVERT (volet VolumeControl hors perimetre -- cf. notes).	LE TROU DE COUVERTURE EST PLUS PARLANT QUE LE BUG : grep de showPrevious, showNext, showLoop, showShuffle, loopMode, shuffle, allowRemotePlayback, downloadable, downloadUrl, qualityOptions et currentQuality retourne ZERO dans la story (150 lignes, 3 Variants ad-hoc), ZERO dans le TU (487 lignes) et ZERO dans l'e2e. Toute la moitie mode audio de l'API est invisible a trois niveaux simultanement, et c'est exactement par la que le defaut est passe. Ecrire la story manquante fait donc partie du correctif, sinon le prochain ajout audio retombera dans le meme trou. L'isolement du defaut au seul canal theme a ete verifie et non suppose : sans ce controle, le ticket aurait accuse C1 et C3 a tort. C2 mineur mais reel : --origam-media-controller---accent-color et --origam-media-controller__time---color n'ont aucune entree dans le fichier de tokens, ce que la doc signale elle-meme honnetement. La doc vit sous docs/components/Media/ au lieu de docs/components/MediaController/, alors que MediaScrubber respecte la convention. Correctif recommande : computed paresseux plutot que ref seede, le patron deja valide ailleurs pour contourner ADR-005. || [RECONCILIATION 2026-09-11 (14 PR mergees)] C4 defaut -> conforme : loopMode/shuffle theme defaults fixes (8a01529f), meme motif que #429 mais traite ici. || C7 defaut -> conforme : story+TU+e2e comblent showPrevious/showNext/showLoop/showShuffle (9f953a21, grep confirme presence dans le story.vue) ; la doc documentait deja ces props correctement (packages/docs/components/Media/OrigamMediaController.md:153-157), seule la story/les tests manquaient. Reste C2 defaut (2 tokens accent-color/time---color non declares) -- mineur, non touche par ce lot. || [CLOTURE CAMPAGNE 2026-09-13, PR #687/#688/#689] C2 defaut -> conforme, RE-MESURE : les 4 tokens precedemment jamais declares (--origam-media-controller---accent-color, --origam-media-controller__time---color, __time-sep---color, __time-total---color) sont desormais dans light.css/dark.css + leurs jumeaux SCSS + tokens.type.ts (commit b5c2dc99). Repli inline retire, guards 20/20 (0 nouvelle violation dans les deux sens sur token-var-channels). 2 tests dedies ajoutes (media-controller.spec.ts, describe 'tokens declares (#429)') verifient la valeur de repli exacte ET que le compteur de temps peint la meme chose qu'avant (mutation de __time-sep---color -> chute des 2 tests, restauree, 58/58 verts selon le corps du commit ; 10/10 verts en re-execution complete par mes soins). #429 reste OUVERT a raison : le ticket couvre aussi OrigamMediaVolumeControl (sans tokens/story/doc, 2 props mortes sur Messages) qui n'est PAS traite ici -- volet hors perimetre de cette ligne du classeur.
OrigamProgress	conforme	conforme	conforme	conforme	conforme	conforme	conforme	conforme	aucun	inspecte	L88 : progressAriaLabel = computed(() => props.label ?? 'Loading') - chaine anglaise en dur, 'Loading' absent de en.json, contrairement au pattern etabli ailleurs dans le DS (OtpInputField t('origam.input.otp',...), Pagination ariaLabel default = CLE i18n resolue par t()). Interface progress.interface.ts L33 documente ce choix explicitement (renvoie la responsabilite i18n au consommateur) mais diverge du reste du DS.	CORRIGE C8 (face8ccb). #450 FERME.	Wrapper qui delegue a Circular/Linear selon type. Aucun emit declare. Pas d'eager read (absent du guard). || [CLOTURE CAMPAGNE 2026-09-13, PR #687/#688/#689] C8 defaut -> conforme, RE-MESURE : progressAriaLabel resout desormais via t('origam.loading') (cle presente dans en.json : "loading": "Loading..."), le litteral anglais en dur 'Loading' est retire (grep confirme). Commit partage face8ccb (#450/#451/#462, meme famille de defaut sur 3 composants). e2e progress.spec.ts : 50/51 verts + 1 test.fail volontaire (DS BUG documente, dispatcher slot value=NaN, sans rapport avec C8). #450 FERME.
OrigamQrCode	conforme	conforme	conforme	conforme	conforme	conforme	conforme	conforme	aucun	inspecte	L200-204 : resolvedAriaLabel retombe sur le template litteral `QR code for ${props.value}` si ni ariaLabel ni title ne sont fournis - chaine anglaise en dur, absente de en.json, meme famille de bug que #450 (Progress 'Loading'). Aucun emit declare (composant pur SVG, defineExpose({svg}) seulement). role=img correctement utilise (pas de div+role redondant).	CORRIGE C8 (face8ccb). #451 FERME.	Composant tres bien documente (commentaires expliquent chaque plan de style, 2 canaux couleur wrapper/matrice SVG). Injection SVG via watchEffect + innerHTML, sanitization documentee comme faite dans useQrCode. || [CLOTURE CAMPAGNE 2026-09-13, PR #687/#688/#689] C8 defaut -> conforme, RE-MESURE : resolvedAriaLabel resout desormais via t('origam.qr_code.aria_label', {value}) (cle presente dans en.json : origam.qr_code.aria_label = "QR code for {value}"), le template litteral en dur retire. Commit partage face8ccb (#450/#451/#462). 25/25 e2e qr-code.spec.ts verts. #451 FERME.
OrigamSkeleton	conforme	conforme	conforme	conforme	conforme	conforme	conforme	conforme	aucun	inspecte	OrigamSkeleton.vue L12,L31,L46 : aria-label="Loading" en dur, x3 identiques. Pire que #450 (Progress) : ISkeletonProps ne declare AUCUNE prop label, zero canal d'override/traduction possible. grep confirme que Skeleton est seul a porter exactement cette chaine (mesure faite). Reste conforme : role=status + aria-busy correctement utilises (bon choix ARIA, pas d'element natif pour un loading placeholder).	CORRIGE C8 (face8ccb). #462 FERME.	Pas d'emits (composant purement presentationnel), C5 conforme trivialement. Story/doc n'exposent aucun control pour le label car la prop n'existe pas - coherent avec l'absence, pas un mensonge. || [CLOTURE CAMPAGNE 2026-09-13, PR #687/#688/#689] C8 defaut -> conforme, RE-MESURE : ISkeletonProps declare desormais une prop 'label' (cle de locale, defaut 'origam.loading'), resolue via t(props.label) ; les 3 occurrences litterales de aria-label="Loading" en dur sont retirees (grep confirme zero occurrence). Commit partage face8ccb (#450/#451/#462). 17/21 e2e skeleton.spec.ts verts (4 skips volontaires sans rapport). #462 FERME.
OrigamSliderField	conforme	conforme	conforme	conforme	conforme	conforme	conforme	conforme	aucun	inspecte	3 couleurs RGB en dur hors var() : L1233 error color:rgba(255,0,0,1), L1254 rail horizontal background-color:rgb(148,148,148), L1544 thumb color:rgba(66,66,66,1). Contraste avec le reste du fichier, bien tokenise. start/end (L800,804) sont des VRAIS emit() (pas comme Select), mais slider-field.spec.ts Events-start/end (L178-197) ne verifient que la visibilite, jamais l'emission au pointerdown/pointerup - meme motif evasif que select.spec.ts. Bon exemple ADR-005 par ailleurs : commentaire L513-535 documente et evite deliberement un eager-read sur le 3e argument de useVModel.	CORRIGE C7 (0bbb93bb). #465 FERME (son volet C2 -- 3 RGB en dur -- deja corrige avant cette passe, verifie var() present).	Story/doc corrects sur les emits (pas mensonger), gap de test rattache a #58. Bon exemple de fix rounded documente (#283, L902-921). || [CLOTURE CAMPAGNE 2026-09-13, PR #687/#688/#689] C7 defaut -> conforme, RE-MESURE : nouveau packages/tests/TU/components/SliderField/slider-field-start-end-emits.spec.ts (7 tests @vue/test-utils, wrapper.emitted()) prouve que 'start'/'end' partent reellement au pointerdown/pointerup avec la valeur courante -- l'ancien slider-field.spec.ts ne verifiait que la visibilite du slider (meme motif que #456/Select). 7/7 TU verts, 33/34 e2e slider-field.spec.ts verts (1 skip volontaire). Verifie separement : les 3 couleurs RGB en dur citees dans le Ticket/Preuve historiques (erreur, rail, thumb) passent bien par var(--origam-slider-field(-thumb)---*, fallback) dans le fichier actuel -- ce volet C2 etait deja corrige avant cette passe (#465 le documentait comme fermable). #465 FERME.
OrigamVideo	conforme	conforme	conforme	conforme	conforme	conforme	conforme	conforme	aucun	inspecte	grep props.autoplay/loop/preload OrigamVideo.vue ligne 383-386 : passes a useVideoPlayer() au top-level de setup(), avant tout computed/watch - eager confirme. playwright video.spec.ts --project=chromium : 12 passed, 2 skipped (marques [STORY COVERAGE MISSING] pour captions/tracks). grep -c origam-video light.css = 34 (tokens ok). Test reduced-motion passant : autoplay suprime si prefers-reduced-motion.	CORRIGE C7 (04b3fce3, PR #689). Aucun ticket n a jamais ete ouvert pour ce point (Ticket etait "-") -- inutile desormais.	C4 : autoplay/loop/preload captures par useVideoPlayer() eagerly, un theme.components qui les configurerait par defaut arriverait trop tard - confirme par lecture directe. C6 excellent : video natif, role=slider sur le scrubber, aria-label dynamique sur le bouton play (pas en dur), clavier fonctionnel - tout teste et vert. C7 : 2 tests e2e explicitement marques [STORY COVERAGE MISSING] pour le rendu des pistes/captions - la fonctionnalite existe et est testee mais la story Histoire ne la montre pas, gravite mineure (doc/story incomplete, pas mensongere). Rien a re-mesurer sur C2/C5/C8, deja conformes (harnais silencieux + grep tokens positif). || [PASSE 4 QA 2026-09-13] C4 RE-VERIFIE, TOUJOURS DEFAUT : le fix f2f4be32 corrige le symptome RENDU (cache computed empoisonne sur :muted, desormais correct — OrigamVideo.spec.ts + video-player.composable.spec.ts 17/17 verts), MAIS node packages/ds/scripts/guards/lib/setup-reads.mjs liste TOUJOURS Video [autoplay, muted] — props.autoplay/muted restent passees brutes a useVideoPlayer au corps de setup(). C7 reste egalement defaut (story sans couverture captions/tracks). Gravite inchangee (mineur). || [PASSE 5 QA 2026-09-13 -- mesure finale, PR #681/#683/#685] C4 defaut -> conforme, RE-MESURE : useVideoPlayer({autoplay, muted}) passe desormais des GETTERS (() => props.autoplay / () => resolvedMuted.value), mirroir du patron deja valide sur OrigamAudio -- commit c8d35175. node setup-reads.mjs ne liste plus Video du tout (etait 'Video [autoplay, muted]'). TU Video+composable 19/19 verts. ATTENTION -- le message du commit cite '(#661, C4)' mais #661 est un ticket EXISTANT qui ne concerne QUE OrigamAudio (verifie : le corps de #661 ne mentionne jamais Video) ; aucun ticket dedie n'existe pour ce defaut Video specifique. Erreur de citation a signaler (meme famille que la mecitation #684->#682 autocorrigee le meme jour sur InfiniteScrollIntersect, celle-ci ne l'a pas ete). C7 (story sans couverture captions/tracks) reste defaut, non touche par ce lot -- gravite inchangee (mineur). || [CLOTURE CAMPAGNE 2026-09-13, PR #687/#688/#689] C7 defaut -> conforme, RE-MESURE : les 2 tests auparavant test.fixme marques [STORY COVERAGE MISSING] (captions/tracks) sont remplaces par de vrais tests actifs dans video.spec.ts ('captions are declared as <track kind=captions>...' et 'the toolbar exposes a captions toggle...'), et la story ajoute une Variant 'Prop - tracks (captions)' avec une PISTE WEBVTT REELLE (data URI text/vtt, contenu 'WEBVTT ... Hello captions.'), pas un stub. 14/14 e2e video.spec.ts verts (1 test.fail volontaire, sans rapport avec C7 : aspect-ratio implemente via padding-block-end plutot que la propriete CSS aspect-ratio sur le wrapper, DS bug deja connu et documente comme tel dans le corps du test). Rien a re-mesurer sur C4/C2/C5/C8 (deja conformes, non touches par ce lot).
