Page — URL mesuree, telle que servie par le serveur de dev (localhost:3210)	Type — page statique | index de catalogue | fiche de detail | admin	Locale — en ou fr	HTTP — code de reponse de la navigation	M1 Rendu — la page rend-elle sans erreur console, sans pageerror, sans divergence d'hydratation ?	M2 Donnees — les chiffres et listes affiches correspondent-ils au reel mesure (versions, comptes, catalogues) ?	M3 Liens — les liens internes resolvent-ils (pas de 404/500, pas d ancre morte) ?	M4 i18n — parite en/fr, aucune cle brute affichee, aucune chaine non traduite visible	M5 a11y — axe-core 4.13 : violations serious/critical (devtools Nuxt exclus du contexte)	M6 Visuel — elements a taille nulle, debordement horizontal de page, ombre sur surface transparente	M7 Theming — le theme actif est-il respecte, une prop de theme est-elle ignoree en silence ?	M8 SEO — title, description, og:*, canonical, h1 unique	Gravite — gravite du pire defaut de la ligne	Preuve — mesure brute qui fonde chaque verdict
/	page statique	en	200	conforme	defaut	defaut	conforme	defaut	defaut	conforme	defaut	majeur	M2: affirmation perimee affichee -> style_dictionary, tokens_studio | M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 13 noeud(s) serious/critical (dont 0 critical) — color-contrast:serious:12 image-redundant-alt:minor:1 nested-interactive:serious:1 | M6: 2 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 64 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "origam · Vue 3 design system · origam"
/why-origam	page statique	en	200	conforme	defaut	defaut	conforme	defaut	defaut	conforme	defaut	majeur	M2: affirmation perimee affichee -> style_dictionary, tokens_studio | M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 17 noeud(s) serious/critical (dont 0 critical) — aria-command-name:serious:17 image-redundant-alt:minor:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 58 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "Why origam? · Vue 3 design system · origam"
/installation	page statique	en	200	defaut	conforme	defaut	conforme	defaut	defaut	conforme	defaut	majeur	M1: 4 avertissement(s) d'hydratation | M2: affirmations chiffrees verifiees -> components_218 | M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 27 noeud(s) serious/critical (dont 0 critical) — color-contrast:serious:27 image-redundant-alt:minor:1 landmark-unique:moderate:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 25 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "Installation · origam design system · origam"
/support	page statique	en	200	conforme	non applicable	defaut	conforme	conforme	defaut	conforme	defaut	majeur	M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 1 violation(s) moderate/minor seulement — image-redundant-alt:minor:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 12 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "Support origam · Vue 3 design system · origam"
/changelog	page statique	en	200	conforme	non applicable	defaut	defaut	defaut	defaut	conforme	defaut	bloquant	M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M4: 6/14 phrases (43%) identiques en FR et en EN — descriptions du catalogue non traduites | M4: 99 cles changelog sans definition (en ET fr) ; le repli extrait de CHANGELOG.md est en FRANCAIS pour 2.17.1 -> la page EN affiche du francais | M5: 6 noeud(s) serious/critical (dont 2 critical) — aria-allowed-attr:critical:2 aria-command-name:serious:2 aria-prohibited-attr:serious:1 color-contrast:serious:1 image-redundant-alt:minor:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 18 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "Changelog · origam design system · origam"
/roadmap	page statique	en	200	conforme	defaut	defaut	conforme	defaut	defaut	conforme	defaut	majeur	M2: affirmation perimee affichee -> figma_plugin | M2: /roadmap affiche 138 composables (fichiers *.composable.ts) la ou /composables en affiche 142 (symboles use* exportes) — meme libelle, deux nombres | M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 4 noeud(s) serious/critical (dont 0 critical) — aria-command-name:serious:4 image-redundant-alt:minor:1 | M6: 5 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 181 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "Roadmap · origam design system · origam"
/theming	page statique	en	200	defaut	conforme	defaut	conforme	defaut	defaut	conforme	defaut	bloquant	M1: 486 avertissement(s) d'hydratation | M2: affirmations chiffrees verifiees -> components_218 | M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 13 noeud(s) serious/critical (dont 2 critical) — aria-allowed-attr:critical:2 aria-command-name:serious:2 aria-prohibited-attr:serious:1 color-contrast:serious:6 image-redundant-alt:minor:1 label-title-only:serious:2 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 210 declarations inline via --origam-* / 6 couleur(s) en dur hors badge devtools | M7: les 6 couleurs en dur de /theming sont les pastilles de previsualisation du Theme Builder (origam-sheet), legitimes par nature | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "Theme builder · origam design system · origam"
/wireframe	page statique	en	200	conforme	conforme	defaut	conforme	conforme	defaut	conforme	defaut	majeur	M2: affirmations chiffrees verifiees -> components_218 | M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 1 violation(s) moderate/minor seulement — image-redundant-alt:minor:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 181 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "Wireframes · origam design system · origam"
/components	index de catalogue	en	200	conforme	conforme	defaut	defaut	defaut	defaut	conforme	defaut	majeur	M2: compteur affiche ["218 components","94 component"] / reel 218 | M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M4: 93/97 phrases (96%) identiques en FR et en EN — descriptions du catalogue non traduites | M5: 1 noeud(s) serious/critical (dont 0 critical) — aria-command-name:serious:1 image-redundant-alt:minor:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 205 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "Components · origam design system · origam"
/composables	index de catalogue	en	200	conforme	defaut	defaut	defaut	defaut	defaut	conforme	defaut	majeur	M2: compteur affiche ["142 composables"] / reel 142 | M2: affirmation perimee affichee -> composables_80 | M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M4: 104/108 phrases (96%) identiques en FR et en EN — descriptions du catalogue non traduites | M5: 1 noeud(s) serious/critical (dont 0 critical) — aria-command-name:serious:1 image-redundant-alt:minor:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 403 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "Composables · origam design system · origam"
/consts	index de catalogue	en	200	conforme	defaut	defaut	defaut	defaut	defaut	conforme	defaut	majeur	M2: compteur affiche ["408 constants"] / reel 408 | M2: 408 affiches vs 407 dans la fixture (orphelin border-prop-keys, --seed --check annonce orphaned=0) | M2: affirmation perimee affichee -> style_dictionary | M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M4: 386/390 phrases (99%) identiques en FR et en EN — descriptions du catalogue non traduites | M5: 1 noeud(s) serious/critical (dont 0 critical) — aria-command-name:serious:1 image-redundant-alt:minor:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 952 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "Constants · origam design system · origam"
